Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville, NC
State_id  ,YEAR  ,Month  ,PRECIP (in) 
'170100',1913,8,2.7 
'170100',1913,9,4.37 
'170100',1913,10,9.9 
'170100',1913,11,3.55 
'170100',1913,12,5.64 
'170100',1914,1,4.95 
'170100',1914,2,3.16 
'170100',1914,3,6.45 
'170100',1914,4,6.74 
'170100',1914,5,1.97 
'170100',1914,6,3.48 
'170100',1914,7,2.45 
'170100',1914,8,3.66 
'170100',1914,9,1.9 
'170100',1914,10,3.56 
'170100',1914,11,4.15 
'170100',1914,12,3.35 
'170100',1915,1,6.48 
'170100',1915,2,7.51 
'170100',1915,3,0.34 
'170100',1915,4,4.27 
'170100',1915,5,3.16 
'170100',1915,6,2.47 
'170100',1915,7,7.6 
'170100',1915,8,3.88 
'170100',1915,9,1.43 
'170100',1915,10,3.62 
'170100',1915,11,4.57 
'170100',1915,12,6.28 
'170100',1916,1,2.72 
'170100',1916,2,6.5 
'170100',1916,3,3.14 
'170100',1916,4,5.01 
'170100',1916,5,5.65 
'170100',1916,6,4.8 
'170100',1916,7,3.93 
'170100',1916,8,3.6 
'170100',1916,9,3.86 
'170100',1916,10,3.13 
'170100',1916,11,5.3 
'170100',1916,12,7.09 
'170100',1917,1,5.52 
'170100',1917,2,3.78 
'170100',1917,3,5.24 
'170100',1917,4,4.09 
'170100',1917,5,2.74 
'170100',1917,6,9.38 
'170100',1917,7,2.91 
'170100',1917,8,4.75 
'170100',1917,9,1.2 
'170100',1917,10,7.87 
'170100',1917,11,1.8 
'170100',1917,12,5.02 
'170100',1918,1,4.49 
'170100',1918,2,4.01 
'170100',1918,3,2.36 
'170100',1918,4,3.26 
'170100',1918,5,2.37 
'170100',1918,6,3.82 
'170100',1918,7,5.65 
'170100',1918,8,3.31 
'170100',1918,9,7.29 
'170100',1918,10,6.36 
'170100',1918,11,5.12 
'170100',1918,12,6.01 
'170100',1919,1,4.67 
'170100',1919,2,2.69 
'170100',1919,3,6.33 
'170100',1919,4,3.21 
'170100',1919,5,5.3 
'170100',1919,6,1.8 
'170100',1919,7,3.02 
'170100',1919,8,1.71 
'170100',1919,9,4.48 
'170100',1919,10,5.43 
'170100',1919,11,6.6 
'170100',1919,12,2.69 
'170100',1920,1,2.37 
'170100',1920,2,9.5 
'170100',1920,3,5.11 
'170100',1920,4,7.92 
'170100',1920,5,2.01 
'170100',1920,6,2.39 
'170100',1920,7,3.36 
'170100',1920,8,3.38 
'170100',1920,9,7.2 
'170100',1920,10,3.02 
'170100',1920,11,5.95 
'170100',1920,12,11.25 
'170100',1921,1,2.25 
'170100',1921,2,4.47 
'170100',1921,3,4.34 
'170100',1921,4,4.5 
'170100',1921,5,1.77 
'170100',1921,6,1.57 
'170100',1921,7,2.19 
'170100',1921,8,3.38 
'170100',1921,9,2.57 
'170100',1921,10,3.66 
'170100',1921,11,8.06 
'170100',1921,12,3.51 
'170100',1922,1,3.71 
'170100',1922,2,4.08 
'170100',1922,3,5.25 
'170100',1922,4,3.59 
'170100',1922,5,4.36 
'170100',1922,6,7.01 
'170100',1922,7,2.85 
'170100',1922,8,4.26 
'170100',1922,9,2.43 
'170100',1922,10,3.15 
'170100',1922,11,2.99 
'170100',1922,12,4.28 
'170100',1923,1,9.25 
'170100',1923,2,2.02 
'170100',1923,3,4.67 
'170100',1923,4,8.5 
'170100',1923,5,1.92 
'170100',1923,6,2.89 
'170100',1923,7,3.41 
'170100',1923,8,1.73 
'170100',1923,9,2.03 
'170100',1923,10,4.67 
'170100',1923,11,4.68 
'170100',1923,12,5.97 
'170100',1924,1,5.7 
'170100',1924,2,3.15 
'170100',1924,3,1.28 
'170100',1924,4,6.67 
'170100',1924,5,4.4 
'170100',1924,6,2.05 
'170100',1924,7,2.4 
'170100',1924,8,4.36 
'170100',1924,9,4.66 
'170100',1924,10,1.19 
'170100',1924,11,3.97 
'170100',1924,12,3.41 
'170100',1925,1,4.41 
'170100',1925,2,5.15 
'170100',1925,3,6.91 
'170100',1925,4,1.63 
'170100',1925,5,1.87 
'170100',1925,6,4.15 
'170100',1925,7,3.59 
'170100',1925,8,1.04 
'170100',1925,9,5.25 
'170100',1925,10,9.41 
'170100',1925,11,7.15 
'170100',1925,12,4.72 
'170100',1926,1,4.68 
'170100',1926,2,4.46 
'170100',1926,3,3.58 
'170100',1926,4,3.54 
'170100',1926,5,2.08 
'170100',1926,6,3.48 
'170100',1926,7,2.8 
'170100',1926,8,3.28 
'170100',1926,9,2.97 
'170100',1926,10,8.98 
'170100',1926,11,7 
'170100',1926,12,3.66 
'170100',1927,1,4.25 
'170100',1927,2,4.5 
'170100',1927,3,2.02 
'170100',1927,4,2.01 
'170100',1927,5,5.1 
'170100',1927,6,3.23 
'170100',1927,7,4.24 
'170100',1927,8,4.8 
'170100',1927,9,2.52 
'170100',1927,10,8.97 
'170100',1927,11,6.09 
'170100',1927,12,7.58 
'170100',1928,1,5.77 
'170100',1928,2,3.07 
'170100',1928,3,3.71 
'170100',1928,4,5.57 
'170100',1928,5,5.89 
'170100',1928,6,3.63 
'170100',1928,7,3.14 
'170100',1928,8,3.49 
'170100',1928,9,4.99 
'170100',1928,10,3.95 
'170100',1928,11,2.7 
'170100',1928,12,6.04 
'170100',1929,1,5.52 
'170100',1929,2,3.23 
'170100',1929,3,4.91 
'170100',1929,4,6.7 
'170100',1929,5,4.07 
'170100',1929,6,3.54 
'170100',1929,7,1.45 
'170100',1929,8,2.66 
'170100',1929,9,2.69 
'170100',1929,10,4.18 
'170100',1929,11,4.24 
'170100',1929,12,5.15 
'170100',1930,1,4.17 
'170100',1930,2,2.59 
'170100',1930,3,7.62 
'170100',1930,4,2.1 
'170100',1930,5,3.05 
'170100',1930,6,1.93 
'170100',1930,7,3.91 
'170100',1930,8,2.95 
'170100',1930,9,1.39 
'170100',1930,10,4.57 
'170100',1930,11,3.6 
'170100',1930,12,2.43 
'170100',1931,1,4.65 
'170100',1931,2,3.19 
'170100',1931,3,4.64 
'170100',1931,4,3.92 
'170100',1931,5,3.66 
'170100',1931,6,4.92 
'170100',1931,7,4.2 
'170100',1931,8,4.16 
'170100',1931,9,4.44 
'170100',1931,10,6.89 
'170100',1931,11,1.51 
'170100',1931,12,4.36 
