#Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville, NC
#data for Eastport, ME
# http://cdiac.ornl.gov/epubs/ndp/ushcn/ushcn_map_interface.html
State_id  ,YEAR  ,Month  ,PRECIP
'172426',1913,5,4.02 
'172426',1913,6,0.81 
'172426',1913,7,2.68 
'172426',1913,8,2.24 
'172426',1913,9,1.69 
'172426',1913,10,5.7 
'172426',1913,11,0.9 
'172426',1913,12,3.14 
'172426',1914,1,6.21 
'172426',1914,2,2.26 
'172426',1914,3,3.77 
'172426',1914,4,3.93 
'172426',1914,5,0.8 
'172426',1914,6,3.23 
'172426',1914,7,1.01 
'172426',1914,8,2.34 
'172426',1914,9,2.92 
'172426',1914,10,2.56 
'172426',1914,11,2.78 
'172426',1914,12,1.95 
'172426',1915,1,5.8 
'172426',1915,2,2.57 
'172426',1915,3,0.57 
'172426',1915,4,3.58 
'172426',1915,5,3.14 
'172426',1915,6,3.45 
'172426',1915,7,3.75 
'172426',1915,8,2.68 
'172426',1915,9,1.21 
'172426',1915,10,1.86 
'172426',1915,11,2.16 
'172426',1915,12,3.82 
'172426',1916,1,1.86 
'172426',1916,2,2.45 
'172426',1916,3,1.64 
'172426',1916,4,2.57 
'172426',1916,5,1.38 
'172426',1916,6,3.79 
'172426',1916,7,4.87 
'172426',1916,8,1.82 
'172426',1916,9,2.41 
'172426',1916,10,2.73 
'172426',1916,11,2.12 
'172426',1916,12,3.98 
'172426',1917,1,3.87 
'172426',1917,2,2.79 
'172426',1917,3,2.95 
'172426',1917,4,3.22 
'172426',1917,5,1.62 
'172426',1917,6,7.4 
'172426',1917,7,1.9 
'172426',1917,8,4.44 
'172426',1917,9,1.51 
'172426',1917,10,4.01 
'172426',1917,11,1.72 
'172426',1917,12,2.99 
'172426',1918,1,2.88 
'172426',1918,2,3.95 
'172426',1918,3,2.17 
'172426',1918,4,2.1 
'172426',1918,5,1.5 
'172426',1918,6,3.26 
'172426',1918,7,2.98 
'172426',1918,8,1.67 
'172426',1918,9,4.65 
'172426',1918,10,3.33 
'172426',1918,11,2 
'172426',1918,12,2.31 
'172426',1919,1,3.06 
'172426',1919,2,1.06 
'172426',1919,3,2.67 
'172426',1919,4,2.15 
'172426',1919,5,3.98 
'172426',1919,6,1.17 
'172426',1919,7,2.82 
'172426',1919,8,2.98 
'172426',1919,9,3.85 
'172426',1919,10,3.36 
'172426',1919,11,4.1 
'172426',1919,12,3.02 
'172426',1920,1,2.07 
'172426',1920,2,6.4 
