#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 13517, 4,    -0.62, 3,   boost,    5.64, 100708.00,   51.49,    0.67,   12.67,  9.7, 9.19, 9.20, 9.18
6, 13517, 4,    -0.61, 3,   boost,    5.92, 100706.00,   51.65,    0.84,   12.80,  9.7, 9.19, 9.21, 9.18
6, 13517, 4,    -0.60, 3,   boost,    6.20, 100703.00,   51.91,    1.09,   12.92,  9.7, 9.19, 9.20, 9.18
6, 13517, 4,    -0.59, 3,   boost,    6.50, 100706.00,   51.65,    0.84,   13.05,  9.7, 9.19, 9.21, 9.18
6, 13517, 4,    -0.58, 3,   boost,    6.80, 100703.00,   51.91,    1.09,   13.18,  9.7, 9.19, 9.20, 9.18
6, 13517, 4,    -0.57, 3,   boost,    7.11, 100689.00,   53.08,    2.26,   13.31,  9.7, 9.19, 9.21, 9.18
6, 13517, 4,    -0.56, 3,   boost,    7.42, 100678.00,   54.00,    3.18,   13.44,  9.7, 9.19, 9.21, 9.18
6, 13517, 4,    -0.55, 3,   boost,    7.74, 100660.00,   55.50,    4.69,   13.57,  9.7, 9.19, 9.20, 9.18
6, 13517, 4,    -0.54, 3,   boost,    8.07, 100659.00,   55.59,    4.77,   13.70,  9.8, 9.19, 9.21, 9.18
6, 13517, 4,    -0.53, 3,   boost,    8.39, 100669.00,   54.75,    3.93,   13.83,  9.8, 9.19, 9.20, 9.18
6, 13517, 4,    -0.52, 3,   boost,    8.72, 100655.00,   55.92,    5.10,   13.96,  9.7, 9.19, 9.20, 9.18
6, 13517, 4,    -0.51, 3,   boost,    9.04, 100651.00,   56.26,    5.44,   14.09,  9.8, 9.19, 9.21, 9.18
6, 13517, 4,    -0.50, 3,   boost,    9.37, 100655.00,   55.92,    5.10,   14.22,  9.7, 9.19, 9.21, 9.18
6, 13517, 4,    -0.49, 3,   boost,    9.69, 100660.00,   55.50,    4.69,   14.35,  9.8, 9.19, 9.20, 9.18
6, 13517, 4,    -0.48, 3,   boost,   10.00, 100658.00,   55.67,    4.85,   14.49,  9.7, 9.18, 9.21, 9.18
6, 13517, 4,    -0.47, 3,   boost,   10.30, 100653.00,   56.09,    5.27,   14.62,  9.8, 9.19, 9.21, 9.18
6, 13517, 4,    -0.46, 3,   boost,   10.60, 100644.00,   56.84,    6.02,   14.75,  9.8, 9.19, 9.21, 9.18
6, 13517, 4,    -0.45, 3,   boost,   10.89, 100637.00,   57.43,    6.61,   14.89,  9.8, 9.19, 9.20, 9.18
6, 13517, 4,    -0.44, 3,   boost,   11.16, 100625.00,   58.43,    7.61,   15.02,  9.7, 9.19, 9.21, 9.18
6, 13517, 4,    -0.43, 3,   boost,   11.41, 100625.00,   58.43,    7.61,   15.15,  9.7, 9.19, 9.21, 9.18
6, 13517, 4,    -0.42, 3,   boost,   11.65, 100636.00,   57.51,    6.69,   15.29,  9.8, 9.19, 9.20, 9.18
6, 13517, 4,    -0.41, 3,   boost,   11.88, 100618.00,   59.02,    8.20,   15.42,  9.8, 9.19, 9.21, 9.18
6, 13517, 4,    -0.40, 3,   boost,   12.08, 100610.00,   59.69,    8.87,   15.56,  9.8, 9.19, 9.21, 9.18
6, 13517, 4,    -0.39, 3,   boost,   12.26, 100594.00,   61.03,   10.21,   15.69,  9.7, 9.19, 9.20, 9.18
6, 13517, 4,    -0.38, 3,   boost,   12.42, 100583.00,   61.95,   11.13,   15.83,  9.8, 9.19, 9.20, 9.18
6, 13517, 4,    -0.37, 3,   boost,   12.56, 100565.00,   63.46,   12.64,   15.96,  9.8, 9.19, 9.20, 9.18
6, 13517, 4,    -0.36, 3,   boost,   12.68, 100539.00,   65.63,   14.82,   16.10,  9.7, 9.19, 9.20, 9.18
6, 13517, 4,    -0.35, 3,   boost,   12.78, 100526.00,   66.72,   15.91,   16.23,  9.8, 9.19, 9.20, 9.18
6, 13517, 4,    -0.34, 3,   boost,   12.85, 100508.00,   68.23,   17.41,   16.37,  9.8, 9.19, 9.21, 9.18
6, 13517, 4,    -0.33, 3,   boost,   12.90, 100489.00,   69.82,   19.01,   16.50,  9.7, 9.19, 9.21, 9.18
6, 13517, 4,    -0.32, 3,   boost,   12.93, 100474.00,   71.08,   20.26,   16.64,  9.7, 9.19, 9.21, 9.18
6, 13517, 4,    -0.31, 3,   boost,   12.94, 100455.00,   72.67,   21.86,   16.77,  9.8, 9.19, 9.20, 9.18
6, 13517, 4,    -0.30, 3,   boost,   12.94, 100443.00,   73.68,   22.86,   16.91,  9.7, 9.19, 9.20, 9.18
