#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 13230, 2,    -0.62, 3,   boost,   -1.25, 100603.00,   60.27,    8.03,    2.65,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.61, 3,   boost,   -1.33, 100608.00,   59.86,    7.62,    2.63,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.60, 3,   boost,   -1.41, 100609.00,   59.77,    7.53,    2.61,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.59, 3,   boost,   -1.50, 100599.00,   60.61,    8.37,    2.60,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.58, 3,   boost,   -1.59, 100589.00,   61.45,    9.21,    2.58,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.57, 3,   boost,   -1.68, 100588.00,   61.53,    9.29,    2.56,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.56, 3,   boost,   -1.78, 100581.00,   62.12,    9.88,    2.55,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.55, 3,   boost,   -1.88, 100583.00,   61.95,    9.71,    2.52,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.54, 3,   boost,   -1.98, 100592.00,   61.20,    8.96,    2.50,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.53, 3,   boost,   -2.09, 100589.00,   61.45,    9.21,    2.48,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.52, 3,   boost,   -2.21, 100590.00,   61.36,    9.12,    2.46,  6.2, 0.00, 0.01, 9.43
6, 13230, 2,    -0.51, 3,   boost,   -2.32, 100595.00,   60.94,    8.70,    2.43,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.50, 3,   boost,   -2.44, 100591.00,   61.28,    9.04,    2.41,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.49, 3,   boost,   -2.56, 100592.00,   61.20,    8.96,    2.38,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.48, 3,   boost,   -2.68, 100604.00,   60.19,    7.95,    2.36,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.47, 3,   boost,   -2.81, 100610.00,   59.69,    7.45,    2.33,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.46, 3,   boost,   -2.94, 100612.00,   59.52,    7.28,    2.30,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.45, 3,   boost,   -3.07, 100609.00,   59.77,    7.53,    2.27,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.44, 3,   boost,   -3.20, 100602.00,   60.36,    8.12,    2.24,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.43, 3,   boost,   -3.33, 100608.00,   59.86,    7.62,    2.20,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.42, 3,   boost,   -3.46, 100608.00,   59.86,    7.62,    2.17,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.41, 3,   boost,   -3.59, 100609.00,   59.77,    7.53,    2.13,  6.2, 0.00, 0.01, 9.43
6, 13230, 2,    -0.40, 3,   boost,   -3.71, 100607.00,   59.94,    7.70,    2.10,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.39, 3,   boost,   -3.84, 100609.00,   59.77,    7.53,    2.07,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.38, 3,   boost,   -3.97, 100615.00,   59.27,    7.03,    2.03,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.37, 3,   boost,   -4.09, 100610.00,   59.69,    7.45,    2.00,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.36, 3,   boost,   -4.22, 100613.00,   59.44,    7.20,    1.96,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.35, 3,   boost,   -4.34, 100610.00,   59.69,    7.45,    1.92,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.34, 3,   boost,   -4.46, 100614.00,   59.35,    7.11,    1.88,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.33, 3,   boost,   -4.57, 100609.00,   59.77,    7.53,    1.83,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.32, 3,   boost,   -4.69, 100613.00,   59.44,    7.20,    1.79,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.31, 3,   boost,   -4.80, 100614.00,   59.35,    7.11,    1.75,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.30, 3,   boost,   -4.91, 100612.00,   59.52,    7.28,    1.70,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.29, 3,   boost,   -5.01, 100608.00,   59.86,    7.62,    1.66,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.28, 3,   boost,   -5.12, 100610.00,   59.69,    7.45,    1.61,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.27, 3,   boost,   -5.22, 100611.00,   59.61,    7.36,    1.56,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.26, 3,   boost,   -5.32, 100587.00,   61.61,    9.37,    1.51,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.25, 3,   boost,   -5.43, 100567.00,   63.29,   11.05,    1.46,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.24, 3,   boost,   -5.53, 100551.00,   64.63,   12.39,    1.40,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.23, 3,   boost,   -5.63, 100536.00,   65.89,   13.65,    1.35,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.22, 3,   boost,   -5.72, 100511.00,   67.98,   15.74,    1.29,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.21, 3,   boost,   -5.82, 100491.00,   69.66,   17.42,    1.24,  6.2, 0.00, 0.01, 9.42
6, 13230, 2,    -0.20, 3,   boost,   -5.92, 100465.00,   71.84,   19.60,    1.18,  6.2, 0.00, 0.01, 9.42
