#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 13230, 5,    -0.62, 3,   boost,    6.44, 100714.00,   50.99,   -0.33,   13.59,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.61, 3,   boost,    6.76, 100702.00,   51.99,    0.67,   13.73,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.60, 3,   boost,    7.09, 100701.00,   52.07,    0.75,   13.87,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.59, 3,   boost,    7.43, 100699.00,   52.24,    0.92,   14.01,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.58, 3,   boost,    7.78, 100694.00,   52.66,    1.34,   14.16,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.57, 3,   boost,    8.13, 100687.00,   53.24,    1.92,   14.30,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.56, 3,   boost,    8.50, 100681.00,   53.75,    2.43,   14.45,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.55, 3,   boost,    8.87, 100675.00,   54.25,    2.93,   14.59,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.54, 3,   boost,    9.24, 100663.00,   55.25,    3.93,   14.74,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.53, 3,   boost,    9.62, 100647.00,   56.59,    5.27,   14.89,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.52, 3,   boost,   10.00, 100635.00,   57.60,    6.28,   15.04,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.51, 3,   boost,   10.37, 100630.00,   58.01,    6.69,   15.19,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.50, 3,   boost,   10.75, 100633.00,   57.76,    6.44,   15.34,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.49, 3,   boost,   11.12, 100645.00,   56.76,    5.44,   15.49,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.48, 3,   boost,   11.49, 100644.00,   56.84,    5.52,   15.64,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.47, 3,   boost,   11.85, 100629.00,   58.10,    6.78,   15.79,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.46, 3,   boost,   12.19, 100620.00,   58.85,    7.53,   15.94,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.45, 3,   boost,   12.53, 100609.00,   59.77,    8.45,   16.09,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.44, 3,   boost,   12.85, 100597.00,   60.78,    9.46,   16.25,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.43, 3,   boost,   13.16, 100579.00,   62.28,   10.96,   16.40,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.42, 3,   boost,   13.44, 100569.00,   63.12,   11.80,   16.55,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.41, 3,   boost,   13.71, 100559.00,   63.96,   12.64,   16.71,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.40, 3,   boost,   13.95, 100552.00,   64.55,   13.23,   16.86,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.39, 3,   boost,   14.18, 100546.00,   65.05,   13.73,   17.02,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.38, 3,   boost,   14.38, 100548.00,   64.88,   13.56,   17.17,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.37, 3,   boost,   14.55, 100546.00,   65.05,   13.73,   17.33,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.36, 3,   boost,   14.70, 100532.00,   66.22,   14.90,   17.48,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.35, 3,   boost,   14.82, 100527.00,   66.64,   15.32,   17.64,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.34, 3,   boost,   14.92, 100525.00,   66.81,   15.49,   17.80,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.33, 3,   boost,   15.00, 100519.00,   67.31,   15.99,   17.95,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.32, 3,   boost,   15.05, 100524.00,   66.89,   15.57,   18.11,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.31, 3,   boost,   15.08, 100517.00,   67.48,   16.16,   18.26,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.30, 3,   boost,   15.09, 100505.00,   68.48,   17.16,   18.42,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.29, 3,   boost,   15.08, 100501.00,   68.82,   17.50,   18.57,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.28, 3,   boost,   15.05, 100500.00,   68.90,   17.58,   18.73,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.27, 3,   boost,   15.01, 100493.00,   69.49,   18.17,   18.88,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.26, 3,   boost,   14.95, 100485.00,   70.16,   18.84,   19.04,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.25, 3,   boost,   14.88, 100484.00,   70.24,   18.92,   19.19,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.24, 3,   boost,   14.79, 100476.00,   70.91,   19.59,   19.35,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.23, 3,   boost,   14.70, 100471.00,   71.33,   20.01,   19.50,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.22, 3,   boost,   14.60, 100474.00,   71.08,   19.76,   19.65,  8.0, 0.02, 0.00, 9.29
6, 13230, 5,    -0.21, 3,   boost,   14.50, 100466.00,   71.75,   20.43,   19.81,  8.0, 0.02, 0.00, 9.29
