Name,LevelCode,Level,Meetings
Sustainable Strategies,3,Intermediate,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Teaching as an Act of Hope,1,Introductory,"[{""days"": ""MR"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
The Nature of Narrative II ,5,Advanced,"[{""days"": ""TF"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
The Power of Poetry: Six U.S. Women Poets ,2,Introductory/Intermediate,"[{""days"": ""TF"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
Thinking Critically about Current Events ,3,Intermediate,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
Transforming Food Systems,2,Introductory/Intermediate,"[{""days"": ""MR"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
YUCATAN: Advanced Self-Directed Cultural Immersion ,5,Advanced,"[{""days"": ""N\A"", ""start"": ""00:00:00"", ""end"": ""00:00:00""}]"
YUCATAN: Immersion Practica in Spanish and Yucatecan Culture,3,Intermediate,"[{""days"": ""N\A"", ""start"": ""00:00:00"", ""end"": ""00:00:00""}]"
YUCATAN: Spanish Pre-Registration,6,,"[{""days"": ""N\A"", ""start"": ""00:00:00"", ""end"": ""00:00:00""}]"
YUCATAN: The Maya of Yesterday and Today ,3,Intermediate,"[{""days"": ""N\A"", ""start"": ""00:00:00"", ""end"": ""00:00:00""}]"
